week_start,week_end,total_r,cum_r,trades,pf,wr_pct,max_dd_pct
2025-11-01,2025-12-01,29.5,29.5,40.0,3.82,65.0,0.4
2025-12-01,2026-01-01,30.8,60.3,47.0,3.41,61.7,0.8
2026-01-01,2026-02-01,36.2,96.5,66.0,4.48,72.7,0.9
2026-02-01,2026-03-01,39.5,136.0,75.0,3.28,66.7,1.0
2026-03-01,2026-04-01,36.4,172.4,99.0,2.87,61.6,1.6
2026-04-01,2026-05-01,34.1,206.5,52.0,3.21,57.7,0.7
2026-05-01,2026-06-01,27.2,233.7,48.0,3.53,60.4,0.7
2026-06-01,2026-06-29,37.3,271.0,70.0,4.84,64.3,0.7

TOTAL,8 weeks,271.0,,497.0,pos=8,neg=0,avg/week=+33.88R
