week_start,week_end,total_r,cum_r,trades,pf,wr_pct,max_dd_pct
2025-06-23,2025-06-30,7.1,7.1,10.0,7.14,70.0,0.2
2025-06-30,2025-07-07,6.3,13.4,6.0,5.33,83.3,0.2
2025-07-07,2025-07-14,7.1,20.5,5.0,6.57,80.0,0.1
2025-07-14,2025-07-21,4.2,24.7,4.0,6.74,75.0,0.1
2025-07-21,2025-07-28,11.3,36.0,4.0,,100.0,0.0
2025-07-28,2025-08-04,9.3,45.3,3.0,,100.0,0.0
2025-08-04,2025-08-11,0,45.3,,,,
2025-08-11,2025-08-18,0.3,45.6,1.0,,100.0,0.0
2025-08-18,2025-08-25,6.8,52.4,5.0,,100.0,0.0
2025-08-25,2025-09-01,6.3,58.7,6.0,3.32,66.7,0.2
2025-09-01,2025-09-08,14.8,73.5,9.0,11.14,88.9,0.2
2025-09-08,2025-09-15,5.8,79.3,3.0,,100.0,0.0
2025-09-15,2025-09-22,7.9,87.2,7.0,7.31,71.4,0.1
2025-09-22,2025-09-29,12.2,99.4,5.0,,100.0,0.0
2025-09-29,2025-10-06,9.9,109.3,15.0,4.12,53.3,0.2
2025-10-06,2025-10-13,7.8,117.1,15.0,4.47,60.0,0.2
2025-10-13,2025-10-20,12.0,129.1,23.0,3.84,60.9,0.6
2025-10-20,2025-10-27,12.7,141.8,19.0,4.98,78.9,0.7
2025-10-27,2025-11-03,12.6,154.4,20.0,5.31,65.0,0.3
2025-11-03,2025-11-10,8.1,162.5,8.0,6.53,75.0,0.2
2025-11-10,2025-11-17,17.1,179.6,17.0,3.54,70.6,0.6
2025-11-17,2025-11-24,5.3,184.9,15.0,1.91,46.7,0.4
2025-11-24,2025-12-01,4.1,189.0,11.0,2.97,54.5,0.2
2025-12-01,2025-12-08,6.9,195.9,7.0,4.18,71.4,0.2
2025-12-08,2025-12-15,6.4,202.3,14.0,3.33,64.3,0.4
2025-12-15,2025-12-22,11.6,213.9,10.0,6.96,80.0,0.2
2025-12-22,2025-12-29,10.6,224.5,10.0,14.35,80.0,0.2
2025-12-29,2026-01-05,12.2,236.7,16.0,9.66,87.5,0.5
2026-01-05,2026-01-12,7.6,244.3,11.0,6.43,72.7,0.2
2026-01-12,2026-01-19,1.9,246.2,8.0,4.21,75.0,0.2
2026-01-19,2026-01-26,14.8,261.0,16.0,5.14,68.8,0.6
2026-01-26,2026-02-02,14.0,275.0,36.0,5.15,75.0,0.9
2026-02-02,2026-02-09,13.3,288.3,31.0,5.05,74.2,0.8
2026-02-09,2026-02-16,5.2,293.5,10.0,3.26,50.0,0.6
2026-02-16,2026-02-23,14.4,307.9,16.0,2.55,68.8,0.7
2026-02-23,2026-03-02,9.7,317.6,13.0,3.69,69.2,0.4
2026-03-02,2026-03-09,14.5,332.1,18.0,9.87,77.8,0.3
2026-03-09,2026-03-16,8.0,340.1,11.0,10.82,81.8,0.2
2026-03-16,2026-03-23,7.4,347.5,9.0,,100.0,0.0
2026-03-23,2026-03-30,6.1,353.6,20.0,2.8,60.0,0.6
2026-03-30,2026-04-06,6.0,359.6,25.0,2.4,56.0,0.5
2026-04-06,2026-04-13,10.7,370.3,14.0,2.66,64.3,0.5
2026-04-13,2026-04-20,11.8,382.1,12.0,6.34,75.0,0.3
2026-04-20,2026-04-27,6.5,388.6,12.0,4.27,66.7,0.2
2026-04-27,2026-05-04,8.4,397.0,20.0,2.37,50.0,0.4
2026-05-04,2026-05-11,10.4,407.4,13.0,5.11,69.2,0.4
2026-05-11,2026-05-18,7.7,415.1,9.0,3.6,77.8,0.5
2026-05-18,2026-05-25,2.4,417.5,12.0,1.48,58.3,0.5
2026-05-25,2026-06-01,16.8,434.3,14.0,7.88,78.6,0.3
2026-06-01,2026-06-08,14.4,448.7,15.0,6.2,66.7,0.4
2026-06-08,2026-06-15,8.3,457.0,23.0,3.88,65.2,0.4
2026-06-15,2026-06-22,3.3,460.3,18.0,2.51,55.6,0.7
2026-06-22,2026-06-29,10.1,470.4,16.0,7.31,68.8,0.3

TOTAL,53 weeks,470.4,,670.0,pos=52,neg=0,avg/week=+8.88R
