bar_time,signal,win_prob,state_prob,dir_prob,hmm_state,atr20_pct,blocked_by,in_range_phase,H1_ADX,H4_ADX,H1_DI_diff,H4_DI_diff,h1_adx_slope,h4_adx_slope,reason
2026-06-22 01:00:00,SKIP,0.4151,0.3103,0.3056,Trending,,,0,22.91,55.78,-2.81,-18.18,-5.938759,1.156425,prob 41.51% < threshold 45.00% (Trending)
2026-06-22 01:15:00,SKIP,0.4151,0.3103,0.3056,Trending,,,0,22.91,55.78,-2.81,-18.18,-5.74629,1.314792,prob 41.51% < threshold 45.00% (Trending)
2026-06-22 01:30:00,SKIP,0.4151,0.3103,0.3056,Trending,,,0,22.91,55.78,-2.81,-18.18,-6.748312,1.3234,prob 41.51% < threshold 45.00% (Trending)
2026-06-22 01:45:00,SKIP,0.4151,0.3103,0.3056,Trending,,,0,22.91,55.78,-2.81,-18.18,-6.694993,1.458879,prob 41.51% < threshold 45.00% (Trending)
2026-06-22 02:00:00,BUY,0.5266,0.875,0.3733,Ranging,,,0,20.27,55.78,1.17,-18.18,-5.189971,1.416364,prob=52.66% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=36.49%
2026-06-22 02:15:00,SKIP,0.4571,0.5,0.3733,Ranging,,,0,20.27,55.78,1.17,-18.18,-5.942206,1.449186,prob 45.71% < threshold 48.00% (Ranging)
2026-06-22 02:30:00,SKIP,0.4448,0.5,0.3056,Ranging,,,0,20.27,55.78,1.17,-18.18,-7.047048,1.422528,prob 44.48% < threshold 48.00% (Ranging)
2026-06-22 02:45:00,SKIP,0.4698,0.5,0.5,Ranging,,,0,20.27,55.78,1.17,-18.18,-6.95906,1.372651,prob 46.98% < threshold 48.00% (Ranging)
2026-06-22 03:00:00,BUY,0.524,0.2706,0.5,Ranging,,,0,23.56,55.78,20.33,-18.18,-5.196797,1.531182,prob=52.40% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.05%
2026-06-22 03:15:00,BUY,0.6196,0.5,0.6491,Ranging,,,0,23.56,55.78,20.33,-18.18,-5.748164,1.075004,prob=61.96% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.05%
2026-06-22 03:30:00,BUY,0.6196,0.5,0.6491,Ranging,,,0,23.56,55.78,20.33,-18.18,-6.63454,0.991603,prob=61.96% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.05%
2026-06-22 03:45:00,BUY,0.6196,0.5,0.6491,Ranging,,,0,23.56,55.78,20.33,-18.18,-7.653237,0.79634,prob=61.96% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.05%
2026-06-22 04:00:00,SKIP,0.4571,0.5,0.3733,Ranging,,range,1,27.99,51.92,27.42,-10.21,-5.250221,0.029233,prob 45.71% < threshold 48.00% (Ranging)
2026-06-22 04:15:00,SKIP,0.434,0.375,0.3733,Ranging,,range,1,27.99,51.92,27.42,-10.21,-5.461421,-0.398899,prob 43.40% < threshold 48.00% (Ranging)
2026-06-22 04:30:00,SKIP,0.3698,0.2706,0.3733,Ranging,,range,1,27.99,51.92,27.42,-10.21,-6.478035,-0.124041,prob 36.98% < threshold 48.00% (Ranging)
2026-06-22 04:45:00,SKIP,0.3006,0.2706,0.3056,Ranging,,range,1,27.99,51.92,27.42,-10.21,-6.313534,-0.344152,prob 30.06% < threshold 48.00% (Ranging)
2026-06-22 05:00:00,SKIP,0.3006,0.2706,0.3056,Ranging,,range,1,30.37,51.92,21.61,-10.21,-4.247383,-0.214608,prob 30.06% < threshold 48.00% (Ranging)
2026-06-22 05:15:00,SKIP,0.3006,0.2706,0.3056,Ranging,,range,1,30.37,51.92,21.61,-10.21,-4.766287,-0.391379,prob 30.06% < threshold 48.00% (Ranging)
2026-06-22 05:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,30.37,51.92,21.61,-10.21,-5.866668,-0.536017,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 05:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,30.37,51.92,21.61,-10.21,-4.641229,-0.667252,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 06:00:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,29.57,51.92,12.04,-10.21,-3.919502,-0.755733,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 06:15:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,29.57,51.92,12.04,-10.21,-4.067713,-0.668526,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 06:30:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,29.57,51.92,12.04,-10.21,-5.496388,-0.700857,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 06:45:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,29.57,51.92,12.04,-10.21,-3.380854,-0.78743,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 07:00:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,28.88,51.92,11.19,-10.21,-3.980493,-0.639337,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 07:15:00,SKIP,0.2782,0.2273,0.1839,Ranging,,range,1,28.88,51.92,11.19,-10.21,-4.461877,-0.943911,prob 27.82% < threshold 48.00% (Ranging)
2026-06-22 07:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,28.88,51.92,11.19,-10.21,-6.059018,-0.829629,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 07:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,28.88,51.92,11.19,-10.21,-1.976355,-0.735325,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 08:00:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,30.28,48.58,19.92,-9.38,-3.991702,-0.606974,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 08:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,30.28,48.58,19.92,-9.38,-4.650281,-0.370406,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 08:30:00,SKIP,0.3063,0.2706,0.3733,Ranging,,range,1,30.28,48.58,19.92,-9.38,-5.733146,-0.115181,prob 30.63% < threshold 48.00% (Ranging)
2026-06-22 08:45:00,SKIP,0.3488,0.5,0.3733,Ranging,,range,1,30.28,48.58,19.92,-9.38,-1.881622,-0.319569,prob 34.88% < threshold 48.00% (Ranging)
2026-06-22 09:00:00,SKIP,0.3488,0.5,0.3733,Ranging,,range,1,32.38,48.58,23.45,-9.38,-4.079403,-0.199279,prob 34.88% < threshold 48.00% (Ranging)
2026-06-22 09:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,32.38,48.58,23.45,-9.38,-4.306631,-0.363423,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 09:30:00,SKIP,0.3287,0.3915,0.3733,Ranging,,range,1,32.38,48.58,23.45,-9.38,-5.148679,-0.49773,prob 32.87% < threshold 48.00% (Ranging)
2026-06-22 09:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,32.38,48.58,23.45,-9.38,-1.651901,-0.619591,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 10:00:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,33.55,48.58,19.8,-9.38,-3.456874,-0.701752,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 10:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,33.55,48.58,19.8,-9.38,-3.333546,-0.620774,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 10:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,33.55,48.58,19.8,-9.38,-3.77394,-0.650796,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 10:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,33.55,48.58,19.8,-9.38,-0.635461,-0.731185,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 11:00:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,34.52,48.58,18.4,-9.38,-2.309525,-0.59367,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 11:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,34.52,48.58,18.4,-9.38,-2.333744,-0.876489,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 11:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,34.52,48.58,18.4,-9.38,-2.739111,-0.77037,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 11:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,34.52,48.58,18.4,-9.38,0.224136,-0.682802,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 12:00:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,36.82,44.5,25.65,-6.28,-1.252005,-0.563619,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 12:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,36.82,44.5,25.65,-6.28,-1.329347,-0.343948,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 12:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,36.82,44.5,25.65,-6.28,-1.972416,-0.185959,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 12:45:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,36.82,44.5,25.65,-6.28,0.763692,-0.580864,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 13:00:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,39.24,44.5,26.8,-6.28,-0.464979,-0.506883,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 13:15:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,39.24,44.5,26.8,-6.28,-0.725318,-0.764641,prob 29.93% < threshold 48.00% (Ranging)
2026-06-22 13:30:00,SKIP,0.2993,0.2706,0.303,Ranging,,range,1,39.24,44.5,26.8,-6.28,-1.344715,-0.871023,prob 29.93% < threshold 48.00% (Ranging)
