week_start,week_end,total_r,cum_r,trades,pf,wr_pct,max_dd_pct
2025-06-23,2025-06-30,12.2,12.2,10.0,12.01,60.0,0.1
2025-06-30,2025-07-07,2.7,14.9,4.0,,100.0,0.0
2025-07-07,2025-07-14,6.8,21.7,4.0,,100.0,0.0
2025-07-14,2025-07-21,4.2,25.9,4.0,7.58,75.0,0.1
2025-07-21,2025-07-28,11.2,37.1,4.0,,100.0,0.0
2025-07-28,2025-08-04,8.0,45.1,5.0,24.21,60.0,0.0
2025-08-04,2025-08-11,0,45.1,,,,
2025-08-11,2025-08-18,0.3,45.4,1.0,,100.0,0.0
2025-08-18,2025-08-25,6.0,51.4,6.0,17.5,83.3,0.0
2025-08-25,2025-09-01,5.8,57.2,6.0,6.52,66.7,0.1
2025-09-01,2025-09-08,6.4,63.6,12.0,3.28,66.7,0.2
2025-09-08,2025-09-15,5.3,68.9,4.0,8.95,75.0,0.1
2025-09-15,2025-09-22,8.0,76.9,8.0,3.87,62.5,0.2
2025-09-22,2025-09-29,4.9,81.8,5.0,7.46,80.0,0.1
2025-09-29,2025-10-06,16.6,98.4,18.0,5.16,55.6,0.2
2025-10-06,2025-10-13,7.3,105.7,17.0,4.71,58.8,0.2
2025-10-13,2025-10-20,14.7,120.4,23.0,3.26,60.9,0.8
2025-10-20,2025-10-27,10.4,130.8,30.0,2.52,60.0,1.2
2025-10-27,2025-11-03,16.6,147.4,26.0,2.37,46.2,0.4
2025-11-03,2025-11-10,8.6,156.0,9.0,5.19,66.7,0.2
2025-11-10,2025-11-17,12.4,168.4,13.0,3.44,69.2,0.8
2025-11-17,2025-11-24,9.0,177.4,17.0,2.69,52.9,0.3
2025-11-24,2025-12-01,7.1,184.5,8.0,6.09,75.0,0.2
2025-12-01,2025-12-08,3.5,188.0,9.0,1.64,55.6,0.5
2025-12-08,2025-12-15,4.2,192.2,13.0,1.53,46.2,0.8
2025-12-15,2025-12-22,11.7,203.9,10.0,15.66,80.0,0.1
2025-12-22,2025-12-29,12.3,216.2,11.0,30.7,90.9,0.1
2025-12-29,2026-01-05,8.7,224.9,20.0,5.52,70.0,0.4
2026-01-05,2026-01-12,10.7,235.6,9.0,21.25,88.9,0.1
2026-01-12,2026-01-19,2.2,237.8,10.0,4.14,70.0,0.2
2026-01-19,2026-01-26,17.3,255.1,17.0,8.57,70.6,0.3
2026-01-26,2026-02-02,13.8,268.9,50.0,3.36,72.0,0.7
2026-02-02,2026-02-09,14.2,283.1,46.0,3.48,71.7,1.0
2026-02-09,2026-02-16,7.7,290.8,14.0,2.8,57.1,0.5
2026-02-16,2026-02-23,4.4,295.2,9.0,2.33,55.6,0.7
2026-02-23,2026-03-02,8.7,303.9,12.0,3.31,75.0,0.5
2026-03-02,2026-03-09,5.8,309.7,22.0,3.25,59.1,0.5
2026-03-09,2026-03-16,9.0,318.7,18.0,2.73,50.0,0.7
2026-03-16,2026-03-23,16.2,334.9,27.0,3.94,74.1,1.0
2026-03-23,2026-03-30,3.6,338.5,37.0,1.6,56.8,1.4
2026-03-30,2026-04-06,9.0,347.5,22.0,3.19,63.6,0.7
2026-04-06,2026-04-13,7.3,354.8,11.0,4.39,63.6,0.6
2026-04-13,2026-04-20,13.3,368.1,11.0,6.23,63.6,0.3
2026-04-20,2026-04-27,3.4,371.5,11.0,2.3,54.5,0.2
2026-04-27,2026-05-04,9.4,380.9,16.0,4.82,62.5,0.2
2026-05-04,2026-05-11,9.9,390.8,16.0,3.9,62.5,0.3
2026-05-11,2026-05-18,8.1,398.9,10.0,2.83,60.0,0.5
2026-05-18,2026-05-25,-0.4,398.5,14.0,1.01,42.9,0.8
2026-05-25,2026-06-01,8.6,407.1,10.0,12.73,70.0,0.2
2026-06-01,2026-06-08,15.7,422.8,13.0,46.3,76.9,0.0
2026-06-08,2026-06-15,7.3,430.1,28.0,3.32,60.7,0.4
2026-06-15,2026-06-22,3.6,433.7,21.0,2.57,61.9,0.7
2026-06-22,2026-06-29,11.0,444.7,17.0,6.62,58.8,0.3

TOTAL,53 weeks,444.7,,768.0,pos=51,neg=1,avg/week=+8.39R
