bar_time,signal,win_prob,state_prob,dir_prob,hmm_state,atr20_pct,blocked_by,smma_score,smma_required_threshold,adx_strength_score,adx_strength_penalty,effective_threshold,in_range_phase,H1_ADX,H4_ADX,H1_DI_diff,H4_DI_diff,h1_adx_slope,h4_adx_slope,ts_line_dist_pct,ts_htf_agreement,ts_adx_switch_trend,reason
2026-06-22 01:00:00,SELL,0.5719,0.4615,0.3889,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,22.91,58.88,-2.81,-27.36,-5.938759,1.156425,0.127539,1.0,-1.0,prob=57.19% | model=combined(70%)+state(ranging)+dir(SELL)(30%) | state=Ranging | vol=normal | slot_wr=35.71%
2026-06-22 01:15:00,SKIP,0.4576,0.4615,0.3889,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,22.91,58.88,-2.81,-27.36,-5.74629,1.314792,0.083267,1.0,-1.0,prob 45.76% < threshold 48.00% (Ranging)
2026-06-22 01:30:00,BUY,0.515,0.8,0.3158,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,22.91,58.88,-2.81,-27.36,-6.748312,1.3234,0.12488,1.0,-1.0,prob=51.50% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.71%
2026-06-22 01:45:00,SKIP,0.4562,0.4615,0.3787,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,22.91,58.88,-2.81,-27.36,-6.694993,1.458879,0.183993,1.0,-1.0,prob 45.62% < threshold 48.00% (Ranging)
2026-06-22 02:00:00,BUY,0.699,1.0,0.6429,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,20.27,58.88,1.35,-26.94,-5.189971,1.416364,0.235839,1.0,-1.0,prob=69.90% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=36.49%
2026-06-22 02:15:00,BUY,0.656,0.8,0.5833,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,20.27,58.88,1.33,-26.94,-5.942206,1.449186,0.158456,1.0,-1.0,prob=65.60% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=36.49%
2026-06-22 02:30:00,SELL,0.5719,0.4615,0.3889,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,20.27,58.88,1.21,-26.94,-7.047048,1.422528,-0.17251,1.0,-1.0,prob=57.19% | model=combined(70%)+state(ranging)+dir(SELL)(30%) | state=Ranging | vol=normal | slot_wr=36.49%
2026-06-22 02:45:00,SELL,0.6249,0.8,0.3889,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,20.27,58.96,1.18,-27.58,-6.95906,1.372651,-0.470837,-1.0,-1.0,prob=62.49% | model=combined(70%)+state(ranging)+dir(SELL)(30%) | state=Ranging | vol=normal | slot_wr=36.49%
2026-06-22 03:00:00,BUY,0.5477,0.8,0.6429,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,17.97,58.96,1.0,-27.58,-5.196797,1.531182,0.066041,-3.0,-1.0,prob=54.77% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.05%
2026-06-22 03:15:00,BUY,0.6197,0.4875,0.8,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,19.36,58.96,4.64,-27.1,-5.748164,1.075004,0.603218,-1.0,-1.0,prob=61.97% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.05%
2026-06-22 03:30:00,BUY,0.6188,0.4875,0.7902,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,20.51,58.96,8.13,-26.63,-6.63454,0.991603,0.805311,-1.0,-1.0,prob=61.88% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.05%
2026-06-22 03:45:00,BUY,0.6412,0.68,0.6572,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,23.56,55.78,20.33,-18.18,-7.653237,0.79634,1.185234,-1.0,-1.0,prob=64.12% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.05%
2026-06-22 04:00:00,BUY,0.5788,1.0,0.5833,Volatile,,range,0.0,0.0,0.0,0.0,0.42,1,27.99,51.92,29.11,-11.13,-5.250221,0.029233,1.264689,3.0,1.0,prob=57.88% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=46.00%
