week_start,week_end,total_r,cum_r,trades,pf,wr_pct,max_dd_pct
2025-06-23,2025-06-30,11.6,11.6,10.0,10.86,70.0,0.1
2025-06-30,2025-07-07,2.0,13.6,4.0,,100.0,0.0
2025-07-07,2025-07-14,6.8,20.4,4.0,,100.0,0.0
2025-07-14,2025-07-21,4.8,25.2,4.0,7.09,75.0,0.1
2025-07-21,2025-07-28,11.2,36.4,4.0,,100.0,0.0
2025-07-28,2025-08-04,10.4,46.8,3.0,,100.0,0.0
2025-08-04,2025-08-11,0,46.8,,,,
2025-08-11,2025-08-18,0.3,47.1,1.0,,100.0,0.0
2025-08-18,2025-08-25,4.5,51.6,5.0,16.73,80.0,0.0
2025-08-25,2025-09-01,4.8,56.4,7.0,4.21,57.1,0.1
2025-09-01,2025-09-08,6.3,62.7,12.0,4.35,58.3,0.1
2025-09-08,2025-09-15,5.3,68.0,4.0,8.95,75.0,0.1
2025-09-15,2025-09-22,8.5,76.5,7.0,4.68,71.4,0.2
2025-09-22,2025-09-29,4.9,81.4,5.0,7.46,80.0,0.1
2025-09-29,2025-10-06,13.7,95.1,19.0,5.41,57.9,0.2
2025-10-06,2025-10-13,8.5,103.6,15.0,5.68,73.3,0.2
2025-10-13,2025-10-20,7.8,111.4,25.0,3.5,68.0,0.5
2025-10-20,2025-10-27,14.0,125.4,26.0,2.45,65.4,1.2
2025-10-27,2025-11-03,16.3,141.7,22.0,2.44,50.0,0.5
2025-11-03,2025-11-10,10.2,151.9,7.0,11.14,85.7,0.2
2025-11-10,2025-11-17,11.4,163.3,12.0,3.67,75.0,0.7
2025-11-17,2025-11-24,5.7,169.0,18.0,1.85,50.0,0.5
2025-11-24,2025-12-01,3.9,172.9,9.0,3.89,55.6,0.2
2025-12-01,2025-12-08,2.7,175.6,9.0,1.53,44.4,0.4
2025-12-08,2025-12-15,5.4,181.0,12.0,2.19,58.3,0.5
2025-12-15,2025-12-22,9.6,190.6,11.0,7.21,72.7,0.1
2025-12-22,2025-12-29,14.4,205.0,12.0,35.23,91.7,0.1
2025-12-29,2026-01-05,10.3,215.3,18.0,9.75,72.2,0.2
2026-01-05,2026-01-12,5.8,221.1,10.0,8.7,80.0,0.2
2026-01-12,2026-01-19,0.5,221.6,10.0,2.75,60.0,0.3
2026-01-19,2026-01-26,17.9,239.5,17.0,9.43,70.6,0.3
2026-01-26,2026-02-02,13.2,252.7,48.0,3.3,72.9,0.9
2026-02-02,2026-02-09,14.4,267.1,36.0,5.34,75.0,0.5
2026-02-09,2026-02-16,3.3,270.4,8.0,5.04,75.0,0.4
2026-02-16,2026-02-23,9.0,279.4,10.0,3.03,60.0,0.7
2026-02-23,2026-03-02,10.8,290.2,11.0,7.44,81.8,0.3
2026-03-02,2026-03-09,9.1,299.3,23.0,3.91,65.2,0.5
2026-03-09,2026-03-16,8.9,308.2,18.0,2.56,50.0,0.8
2026-03-16,2026-03-23,8.1,316.3,23.0,5.62,73.9,0.5
2026-03-23,2026-03-30,4.0,320.3,27.0,2.05,59.3,0.6
2026-03-30,2026-04-06,9.6,329.9,23.0,2.84,56.5,0.5
2026-04-06,2026-04-13,3.4,333.3,14.0,1.58,50.0,1.1
2026-04-13,2026-04-20,7.6,340.9,11.0,4.54,54.5,0.3
2026-04-20,2026-04-27,4.9,345.8,11.0,4.32,72.7,0.2
2026-04-27,2026-05-04,9.1,354.9,17.0,4.75,58.8,0.2
2026-05-04,2026-05-11,8.7,363.6,16.0,4.43,62.5,0.2
2026-05-11,2026-05-18,7.7,371.3,10.0,3.03,60.0,0.5
2026-05-18,2026-05-25,0.7,372.0,13.0,1.16,53.8,0.6
2026-05-25,2026-06-01,9.8,381.8,10.0,12.75,70.0,0.2
2026-06-01,2026-06-08,10.7,392.5,14.0,44.19,78.6,0.0
2026-06-08,2026-06-15,6.2,398.7,26.0,3.29,57.7,0.4
2026-06-15,2026-06-22,0.5,399.2,22.0,1.36,45.5,0.8
2026-06-22,2026-06-29,6.4,405.6,18.0,3.63,44.4,0.3

TOTAL,53 weeks,405.6,,731.0,pos=52,neg=0,avg/week=+7.65R
