bar_time,signal,win_prob,state_prob,dir_prob,hmm_state,atr20_pct,blocked_by,smma_score,smma_required_threshold,adx_strength_score,adx_strength_penalty,effective_threshold,in_range_phase,H1_ADX,H4_ADX,H1_DI_diff,H4_DI_diff,h1_adx_slope,h4_adx_slope,ts_line_dist_pct,ts_htf_agreement,ts_adx_switch_trend,reason
2026-02-09 01:00:00,SKIP,0.3463,0.3214,0.2903,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,47.16,19.91,23.98,2.87,-0.584251,-0.697552,0.602804,3.0,1.0,prob 34.63% < threshold 45.00% (Trending)
2026-02-09 01:15:00,SKIP,0.4089,0.3214,0.407,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,48.65,21.17,33.57,7.67,0.674332,-1.256091,1.40598,3.0,1.0,prob 40.89% < threshold 45.00% (Trending)
2026-02-09 01:30:00,BUY,0.5367,1.0,0.4286,Volatile,,range,0.0,0.0,0.0,0.0,0.42,1,49.16,21.73,37.6,9.95,1.739753,-1.623453,1.621656,3.0,1.0,prob=53.67% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.53%
2026-02-09 01:45:00,SKIP,0.4026,0.3214,0.3438,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,49.24,21.81,38.24,10.34,1.152689,-1.578786,1.34689,3.0,1.0,prob 40.26% < threshold 45.00% (Trending)
2026-02-09 02:00:00,BUY,0.4721,0.6667,0.4,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,52.1,21.81,35.48,10.34,0.769651,-1.643725,0.710664,3.0,1.0,prob=47.21% | model=combined(70%)+state(trending)+dir(BUY)(30%) | state=Trending | vol=normal | slot_wr=38.71%
2026-02-09 02:15:00,BUY,0.4612,0.6667,0.2903,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,52.1,21.81,35.17,10.34,1.92734,-1.661264,0.39489,3.0,1.0,prob=46.12% | model=combined(70%)+state(trending)+dir(BUY)(30%) | state=Trending | vol=normal | slot_wr=38.71%
2026-02-09 02:30:00,SKIP,0.4125,0.6503,0.3438,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,52.1,21.81,34.38,10.34,2.765679,-1.608293,0.164062,3.0,1.0,prob 41.25% < threshold 45.00% (Trending)
2026-02-09 02:45:00,SKIP,0.297,0.4317,0.2903,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,52.1,21.81,33.83,10.34,2.255926,-1.608483,-0.030689,3.0,1.0,prob 29.70% < threshold 45.00% (Trending)
2026-02-09 03:00:00,SKIP,0.3091,0.3214,0.2903,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,53.48,21.81,27.41,10.34,2.026847,-1.635846,-0.046036,3.0,1.0,prob 30.91% < threshold 45.00% (Trending)
2026-02-09 03:15:00,SKIP,0.2766,0.3214,0.2903,Trending,,range,0.0,0.0,0.0,0.0,0.45,1,53.48,21.81,27.41,10.34,3.090847,-1.578416,-0.08891,3.0,1.0,prob 27.66% < threshold 45.00% (Trending)
