rank,feature,importance
1,in_range_phase,0.070101
2,move_1hr,0.060768
3,price_pos,0.040601
4,15_min_slot,0.038437
5,h4_support_dist,0.038056
6,M30_DI_diff,0.035448
7,M15_ADX,0.035327
8,M15_DI_diff,0.033777
9,h4_ob_strength,0.031890
10,h4_resist_dist,0.031382
11,day_of_week,0.030950
12,ts_htf_agreement,0.030862
13,h1_adx_slope,0.029920
14,h1_resist_dist,0.029602
15,slot_win_rate,0.028897
16,range_pct,0.028517
17,H4_ADX,0.027552
18,mins_to_next_3star,0.027546
19,H4_DI_diff,0.027413
20,momentum_aligned_2hr,0.027298
21,body_pct,0.026158
22,H1_DI_diff,0.025983
23,h1_support_dist,0.025700
24,move_4hr,0.024204
25,h4_adx_slope,0.023603
26,h1_ob_strength,0.023295
27,price_vs_ema200,0.023269
28,M30_ADX,0.022653
29,mins_since_last_3star,0.022248
30,hmm_state,0.021532
31,slot_cos,0.021270
32,corr_imp_ratio,0.018746
33,H1_ADX,0.016994
34,ts_bars_since_flip,0.000000
35,momentum_aligned_4hr,0.000000
36,momentum_aligned_1hr,0.000000
