rank,feature,importance
1,move_1hr,0.066622
2,price_pos,0.052089
3,momentum_aligned_1hr,0.050180
4,momentum_aligned_4hr,0.048019
5,slot_win_rate,0.047884
6,ts_htf_agreement,0.042230
7,M15_ADX,0.041506
8,mins_to_next_3star,0.041010
9,M15_DI_diff,0.040204
10,M30_DI_diff,0.038123
11,slot_cos,0.037814
12,H4_ADX,0.036982
13,h1_adx_slope,0.036047
14,momentum_aligned_2hr,0.035053
15,body_pct,0.034990
16,day_of_week,0.034882
17,range_pct,0.033758
18,15_min_slot,0.032738
19,move_4hr,0.032227
20,h4_h1_regime_score,0.031487
21,h4_adx_slope,0.030582
22,H1_DI_diff,0.030406
23,price_vs_ema200,0.028311
24,H4_DI_diff,0.027491
25,mins_since_last_3star,0.024636
26,in_range_phase,0.022777
27,hmm_state,0.021953
28,ts_bars_since_flip,0.000000
