signal_id,signal_time,symbol,original_direction,original_probability,original_threshold,original_state,original_model_version,original_feature_hash,direction_after_15m,probability_after_15m,state_after_15m,direction_after_1h,probability_after_1h,direction_after_restart,probability_after_restart,direction_after_model_reload,probability_after_model_reload,db_row_exists,db_row_changed,csv_row_changed,dashboard_row_changed,signal_disappeared,historical_signal_appeared_later,duplicate_signal_count,repaint_type,repaint_reason
XAUUSD_20260714_170000_BUY_2026-07-14T07:27:41_1e02397a076d1584_2430686220ef,2026-07-14 17:00:00,XAUUSD,BUY,0.5767,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,649db400a0e92061,BUY,0.5767,Volatile,BUY,0.5767,BUY,0.5767,BUY,0.5767,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_164500_SELL_2026-07-14T07:27:41_1e02397a076d1584_98f57fbd1fd1,2026-07-14 16:45:00,XAUUSD,SELL,0.58,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,c157c93cbf22f4ec,SELL,0.58,Volatile,SELL,0.58,SELL,0.58,SELL,0.58,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_163000_BUY_2026-07-14T07:27:41_1e02397a076d1584_6db0e59c95d6,2026-07-14 16:30:00,XAUUSD,BUY,0.7002,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,97dd63365528f246,BUY,0.7002,Volatile,BUY,0.7002,BUY,0.7002,BUY,0.7002,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_161500_BUY_2026-07-14T07:27:41_1e02397a076d1584_814142f39a30,2026-07-14 16:15:00,XAUUSD,BUY,0.6278,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,3a2911bb93b5a9da,BUY,0.6278,Volatile,BUY,0.6278,BUY,0.6278,BUY,0.6278,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_160000_BUY_2026-07-14T07:27:41_1e02397a076d1584_e60f659c892f,2026-07-14 16:00:00,XAUUSD,BUY,0.6267,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,f71510ba71d7147a,BUY,0.6267,Volatile,BUY,0.6267,BUY,0.6267,BUY,0.6267,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_154500_BUY_2026-07-14T07:27:41_1e02397a076d1584_ab57ad3e945d,2026-07-14 15:45:00,XAUUSD,BUY,0.7347,0.42,Volatile,2026-07-14T07:27:41_1e02397a076d1584,fcd32d5d9d11f236,BUY,0.7347,Volatile,BUY,0.7347,BUY,0.7347,BUY,0.7347,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_153000_BUY_2026-07-14T07:27:41_1e02397a076d1584_bf76391d5216,2026-07-14 15:30:00,XAUUSD,BUY,0.4868,0.48,Ranging,2026-07-14T07:27:41_1e02397a076d1584,7247015268ee8d59,BUY,0.4868,Ranging,BUY,0.4868,BUY,0.4868,BUY,0.4868,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_151500_BUY_2026-07-14T07:27:41_1e02397a076d1584_8ba88ac915c9,2026-07-14 15:15:00,XAUUSD,BUY,0.4828,0.48,Ranging,2026-07-14T07:27:41_1e02397a076d1584,cad91610def6ca72,BUY,0.4828,Ranging,BUY,0.4828,BUY,0.4828,BUY,0.4828,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_150000_BUY_2026-07-14T07:27:41_1e02397a076d1584_8ccdc5420da5,2026-07-14 15:00:00,XAUUSD,BUY,0.5586,0.48,Ranging,2026-07-14T07:27:41_1e02397a076d1584,67afa20d9e5fcb92,BUY,0.5586,Ranging,BUY,0.5586,BUY,0.5586,BUY,0.5586,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
XAUUSD_20260714_144500_BUY_2026-07-14T07:27:41_1e02397a076d1584_09de2bc9e47c,2026-07-14 14:45:00,XAUUSD,BUY,0.5756,0.48,Ranging,2026-07-14T07:27:41_1e02397a076d1584,25e428f8f6334d1f,BUY,0.5756,Ranging,BUY,0.5756,BUY,0.5756,BUY,0.5756,1,0,0,0,0,0,1,0,No repaint detected across all steps run so far
